schema_version,trade_id,symbol,direction,timestamp,session,weekday,bos_detected,bos_strength,choch_detected,choch_strength,fvg_detected,fvg_size,order_block_detected,ob_distance,liquidity_sweep,displacement_strength,d1_bias,h4_bias,trend_alignment,trend_confidence,ema_fast,ema_slow,ema_distance,ema_slope,atr,atr_ratio,candle_range_vs_atr,volatility_regime,rsi,rsi_slope,volume_ratio,momentum_strength,spread,sl_distance,tp_distance,rr_ratio,expected_hold_bars,pnl_r,win,exit_reason,max_favorable_excursion,max_adverse_excursion,ml_probability,ml_threshold,governor_mode,risk_multiplier,market_regime
v1,EURUSD-2024-06-25 10:15:00+00:00-1,EURUSD,SHORT,2024-06-25 10:15:00+00:00,LONDON,1,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.3253141265969727,1.0735150601533487,1.0733823799160371,0.00013268023731161094,-0.00029719285727458633,0.00034642857142860465,1.4445271779598097,1.9628865979379964,HIGH_VOL,25.092250922505755,-9.364677916444819,2.2801134898117104,0.00013268023731161094,0.0,0.00034642857142852534,0.0006928571428572727,2.000000000000641,12,-1.0,0,SL,0.25979381443280336,-1.3567010309279302,0.95,0.6799999999999999,NORMAL,1.0,HIGH_VOL
v1,EURUSD-2024-06-26 08:45:00+00:00-2,EURUSD,SHORT,2024-06-26 08:45:00+00:00,LONDON,2,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.43568254028535464,1.0709801269239452,1.0711611601782836,0.0001810332543383808,-0.00017976881940451328,0.0002642857142856852,1.0039343372675942,1.4756756756754237,RANGING,21.951219512190903,-2.910658940843774,1.1317073170731706,-0.0001810332543383808,0.0,0.0002642857142856059,0.0005285714285714338,2.00000000000084,12,2.00000000000084,1,TP,3.2540540540557026,-0.6432432432426801,0.95,0.63,NORMAL,1.0,RANGING
v1,EURUSD-2024-06-26 09:30:00+00:00-3,EURUSD,SHORT,2024-06-26 09:30:00+00:00,LONDON,2,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.44364116276471,1.0707216964227773,1.0710293376892364,0.00030764126645910217,-0.00036510682780410697,0.00032571428571426253,1.1943425877422549,2.5482456140349203,RANGING,17.93721973094189,-7.92484923457161,2.0853960396039604,-0.00030764126645910217,0.0,0.00032571428571426253,0.0006514285714285251,2.0,12,2.0,1,TP,2.026315789474151,-0.9824561403505663,0.8400000000000001,0.63,NORMAL,1.0,RANGING
v1,EURUSD-2024-06-26 09:45:00+00:00-4,EURUSD,SHORT,2024-06-26 09:45:00+00:00,LONDON,2,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4512420367496243,1.0706043920015604,1.0709689715053448,0.0003645795037843236,-0.0004389061775369463,0.00035428571428568797,1.2742453436094874,1.6088709677419404,RANGING,13.215859030836867,-4.7213607001050235,1.64,-0.0003645795037843236,0.0,0.0003542857142857514,0.0007085714285712807,1.9999999999993732,12,1.9999999999993732,1,TP,2.7096774193547577,-0.3104838709672365,0.8400000000000001,0.63,NORMAL,1.0,RANGING
v1,EURUSD-2024-06-26 10:00:00+00:00-5,EURUSD,SHORT,2024-06-26 10:00:00+00:00,LONDON,2,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5003803623411465,1.0704496880014118,1.0708909726227822,0.0004412846213703858,-0.0005304389225333495,0.0003921428571428092,1.3776662484315445,1.6065573770491433,HIGH_VOL,9.489051094888737,-3.7268079359481305,2.0253912016533806,-0.0004412846213703858,0.0,0.0003921428571427299,0.0007842857142856818,2.000000000000566,12,-1.0,0,SL,1.1475409836070865,-1.4280510018216865,0.8400000000000001,0.6799999999999999,NORMAL,1.0,HIGH_VOL
v1,EURUSD-2024-06-26 10:15:00+00:00-6,EURUSD,SHORT,2024-06-26 10:15:00+00:00,LONDON,2,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.43419784539957346,1.0702954320012774,1.0708101501669869,0.0005147181657094713,-0.0006113495013395642,0.00042071428571423464,1.4388664956637898,1.4261460101867733,HIGH_VOL,9.318996415768495,-0.1700546791202413,1.789208834218619,-0.0005147181657094713,0.0,0.00042071428571421876,0.0008414285714284375,2.0,12,-1.0,0,SL,0.6179966044141862,-1.6876061120545705,0.95,0.6799999999999999,NORMAL,1.0,HIGH_VOL
v1,EURUSD-2024-06-26 10:30:00+00:00-7,EURUSD,SHORT,2024-06-26 10:30:00+00:00,LONDON,2,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.34933656088803566,1.0701796765725844,1.0707423011408306,0.0005626245682461839,-0.0006569352631167202,0.00043642857142851225,1.45234133586871,1.2831423895252991,HIGH_VOL,17.46575342465769,8.146757008889196,1.7661789903782785,-0.0005626245682461839,0.0,0.0004364285714284488,0.0008728571428571197,2.000000000000509,12,-1.0,0,SL,0.2062193126026827,-1.054009819967345,0.95,0.6799999999999999,NORMAL,1.0,HIGH_VOL
v1,EURUSD-2024-06-26 11:45:00+00:00-8,EURUSD,SHORT,2024-06-26 11:45:00+00:00,LONDON,2,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.28483883737227467,1.0699260368932353,1.0705233937367937,0.0005973568435584387,-0.0002536396793491047,0.0005228571428570948,1.4850882531953766,0.918032786885399,HIGH_VOL,34.37500000000256,5.583226221083265,1.4489112227805694,-0.0005973568435584387,0.0,0.0005228571428570472,0.0010457142857140944,2.0,12,2.0,1,TP,2.0655737704921235,-0.8989071038252445,0.73,0.6799999999999999,NORMAL,1.0,HIGH_VOL
v1,EURUSD-2024-06-26 13:00:00+00:00-9,EURUSD,SHORT,2024-06-26 13:00:00+00:00,NEW_YORK,2,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.475209529665796,1.0695945607724449,1.070270058185816,0.00067549741337114,-0.00033147612079043043,0.0005157142857142384,1.2269521624607018,0.950138504154978,RANGING,35.436893203882846,0.6749884419775327,0.806179525881204,-0.00067549741337114,0.0,0.000515714285714175,0.001031428571428572,2.0000000000004308,12,-1.0,0,SL,0.8919667590027772,-2.036011080332838,0.95,0.63,NORMAL,1.0,RANGING
v1,EURUSD-2024-06-26 13:15:00+00:00-10,EURUSD,SHORT,2024-06-26 13:15:00+00:00,NEW_YORK,2,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4386535948465998,1.069470316889355,1.0701924088451957,0.0007220919558408312,-0.00044181172833424043,0.0004978571428570896,1.1510197341259851,0.6427546628405656,RANGING,35.436893203882846,0.0,0.9907495461225901,-0.0007220919558408312,0.0,0.0004978571428571055,0.000995714285714211,2.0,12,-1.0,0,SL,0.04017216642736682,-1.0043041606886305,0.95,0.63,NORMAL,1.0,RANGING
