symbol,total_trades,win_rate,profit_factor,max_drawdown_r,expectancy_r,avg_ml_confidence,signal_count
XAUUSD,8347,0.35569665748172996,1.0024759898348037,-245.41061807620872,0.001553835815191886,0.8712498123838193,8347
EURUSD,8583,0.34510078061283933,0.9448929133539276,-352.69518334057125,-0.03496912353253123,0.8703877790891912,8583
GBPUSD,8435,0.3368109069353883,0.9098035915858929,-570.2895254240661,-0.058110705448529164,0.8707607051136415,8435
