strategy,sl_atr_mult,symbol,side,total_trades,win_rate,profit_factor,expectancy,net_r,max_drawdown,sharpe,average_holding_bars
A_immediate,1.0,EURUSD,ALL,8583,0.29826401025282534,0.9440323481855959,-0.03790238179990085,-325.316142988549,-401.2645060897761,-2.2765155339882392,6.9206571128975884
A_immediate,1.0,EURUSD,LONG,4368,0.3024267399267399,0.9572099950302915,-0.02884933790662291,-126.01390797612888,-190.16381011908666,-1.2328586834846842,6.916437728937729
A_immediate,1.0,EURUSD,SHORT,4215,0.2939501779359431,0.9304994784103549,-0.04728404152133337,-199.30223501242017,-255.49575941126187,-1.9957694416612328,6.92502965599051
A_immediate,1.0,GBPUSD,ALL,8435,0.28950800237107294,0.9198080054029611,-0.055272524537657845,-466.2237444751439,-584.3058879261118,-3.277152353295398,6.833313574392412
A_immediate,1.0,GBPUSD,LONG,4262,0.2871891130924449,0.9078833430365978,-0.06387554297918596,-272.23756417729055,-300.2554484024926,-2.699354059901725,6.911778507742843
A_immediate,1.0,GBPUSD,SHORT,4173,0.2918763479511143,0.9321367735455076,-0.04648602451422317,-193.9861802978533,-333.45239511368413,-1.9333606792762197,6.753175173735921
A_immediate,1.0,XAUUSD,ALL,8347,0.3070564274589673,1.0105466888065249,0.007093115384767155,59.206234116651444,-348.9336555938678,0.40934914517573323,6.862705163531808
A_immediate,1.0,XAUUSD,LONG,4626,0.32684824902723736,1.0889326837318383,0.058339750541888426,269.87968600677584,-100.12147553143643,2.4821640629558006,7.150670125378297
A_immediate,1.0,XAUUSD,SHORT,3721,0.2824509540446117,0.918314365550452,-0.05661742861868434,-210.67345189012443,-261.01103275037644,-2.2120634123613128,6.50470303681806
A_immediate,1.5,EURUSD,ALL,8583,0.3610625655365257,0.9597789236243208,-0.02311529706763642,-198.3985947315234,-314.75955998362474,-1.587125781521315,9.94162880111849
A_immediate,1.5,EURUSD,LONG,4368,0.3685897435897436,0.9777634871983555,-0.012722687472172181,-55.57269887844809,-136.46026133973777,-0.6212196899980859,9.953983516483516
A_immediate,1.5,EURUSD,SHORT,4215,0.35326215895610913,0.9413093621564235,-0.03388514729610327,-142.82589585307528,-215.1111696558386,-1.6358892126393056,9.9288256227758
A_immediate,1.5,GBPUSD,ALL,8435,0.3511558980438648,0.9246587478422356,-0.044529822833960966,-375.60905560446076,-492.4540978141233,-3.016607891485269,9.804979253112034
A_immediate,1.5,GBPUSD,LONG,4262,0.35265133740028154,0.9253805871796982,-0.04424661656356127,-188.57907979389813,-255.76408175415332,-2.127903388238031,9.83036133270765
A_immediate,1.5,GBPUSD,SHORT,4173,0.3496285645818356,0.9239166509131858,-0.044819069209336856,-187.0299758105627,-246.07864680778655,-2.1383858744595,9.7790558351306
A_immediate,1.5,XAUUSD,ALL,8347,0.3788187372708758,1.0353321767319577,0.01993491148041902,166.39670612705757,-273.8300673726144,1.3260669424553775,9.879238049598658
A_immediate,1.5,XAUUSD,LONG,4626,0.4066147859922179,1.1294351804613962,0.07021327445212844,324.80660761554617,-88.68635145509967,3.484845677689983,10.150670125378296
A_immediate,1.5,XAUUSD,SHORT,3721,0.3442622950819672,0.9279981081744048,-0.04257186280260377,-158.40990148848863,-210.01717046134445,-1.8890357742000239,9.541789841440472
A_immediate,2.0,EURUSD,ALL,8583,0.40976348596061984,0.9879991390267091,-0.005816785267645043,-49.9254679521974,-205.09123670608983,-0.4559772479486458,11.866014214144238
A_immediate,2.0,EURUSD,LONG,4368,0.41712454212454214,1.0057840438111711,0.0027930429090986444,12.20001142694288,-117.42735493855162,0.15541694370725906,11.89423076923077
A_immediate,2.0,EURUSD,SHORT,4215,0.40213523131672596,0.9697082495534631,-0.014739141015217158,-62.12547937914032,-137.2145423251199,-0.8139517147636148,11.836773428232503
A_immediate,2.0,GBPUSD,ALL,8435,0.39869590989922943,0.9399238563162201,-0.0299553389518472,-252.67328405883114,-305.52558879161785,-2.3379251380159958,11.816123295791346
A_immediate,2.0,GBPUSD,LONG,4262,0.4016893477240732,0.9292830476578021,-0.03527544084546695,-150.34392888338016,-199.22364937953455,-1.9761346805682338,11.844673862036602
A_immediate,2.0,GBPUSD,SHORT,4173,0.3956386292834891,0.9508005521718643,-0.024521772148442606,-102.329355175451,-178.95079251600134,-1.3331173530027234,11.786963815001199
A_immediate,2.0,XAUUSD,ALL,8347,0.42769857433808556,1.0661785564935262,0.03129302850193409,261.2029089056439,-215.4155333183505,2.3879341320777665,11.866179465676291
A_immediate,2.0,XAUUSD,LONG,4626,0.45503674881106787,1.1661106691498118,0.07546652218850682,349.10813164403254,-73.31345067354471,4.295670529814152,11.996108949416342
A_immediate,2.0,XAUUSD,SHORT,3721,0.39371136791185163,0.9523621708026807,-0.023624085659335835,-87.90522273838864,-172.2311065966152,-1.202947125211525,11.704649287825854
B_mitigation,1.0,EURUSD,ALL,8451,0.32067210980949,1.0883096587214443,0.05827065209970819,492.4452808946339,-99.1544785561718,3.3202385107163592,6.3721453082475445
B_mitigation,1.0,EURUSD,LONG,4293,0.3256464011180992,1.1160674172682707,0.07617943192983384,327.0383012747767,-90.00407538883536,3.07343883400565,6.42837176799441
B_mitigation,1.0,EURUSD,SHORT,4158,0.31553631553631556,1.0599585529190867,0.03978041837899405,165.40697961985725,-99.15447855617187,1.6011266405572386,6.314093314093314
