setup_id,symbol,timestamp,open,high,low,close,volume,bar_type,fvg_top,fvg_bottom,entry_price,stop_price,take_profit_price,pnl_r,ml_oof_probability
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 09:15:00+00:00,1.16684,1.16764,1.16684,1.16761,802.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 09:30:00+00:00,1.1676,1.16775,1.16734,1.16734,603.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 09:45:00+00:00,1.16734,1.16797,1.16733,1.16761,834.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 10:00:00+00:00,1.16764,1.16781,1.16734,1.16748,868.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 10:15:00+00:00,1.16749,1.16805,1.1674,1.16783,768.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 10:30:00+00:00,1.16784,1.16862,1.16754,1.16843,829.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 10:45:00+00:00,1.16843,1.16913,1.16829,1.16897,987.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 11:00:00+00:00,1.16893,1.1699,1.16807,1.1684,1446.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 11:15:00+00:00,1.1684,1.16842,1.16756,1.16777,1054.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 11:30:00+00:00,1.16778,1.16881,1.16756,1.16842,938.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 11:45:00+00:00,1.16842,1.16875,1.168,1.16828,898.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 12:00:00+00:00,1.16833,1.16848,1.16798,1.16803,654.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 12:15:00+00:00,1.16802,1.16818,1.1677,1.1678600000000001,617.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 12:30:00+00:00,1.16784,1.16794,1.16736,1.16783,676.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 12:45:00+00:00,1.16783,1.16783,1.16705,1.16707,688.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 13:00:00+00:00,1.16706,1.16717,1.16648,1.1666,765.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 13:15:00+00:00,1.1666,1.16666,1.16615,1.16625,763.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 13:30:00+00:00,1.16625,1.1668,1.16624,1.16668,719.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 13:45:00+00:00,1.16668,1.16709,1.16656,1.16703,821.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:00:00+00:00,1.16703,1.16768,1.1651,1.16565,1829.0,pre,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:15:00+00:00,1.16566,1.16606,1.16533,1.16546,910.0,entry,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:30:00+00:00,1.16547,1.16551,1.1634,1.16407,1445.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:45:00+00:00,1.16407,1.16471,1.16389,1.1644700000000001,1092.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 15:00:00+00:00,1.16444,1.16456,1.16374,1.16399,1240.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 15:15:00+00:00,1.16401,1.16567,1.16398,1.16478,1129.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 15:30:00+00:00,1.16477,1.16626,1.16477,1.16491,1867.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 15:45:00+00:00,1.16494,1.16577,1.1648,1.16511,1236.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 16:00:00+00:00,1.1651,1.1656,1.16439,1.16492,1377.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 16:15:00+00:00,1.16491,1.1654,1.16378,1.1654,1412.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 16:30:00+00:00,1.1654200000000001,1.16585,1.16441,1.16501,1752.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 16:45:00+00:00,1.16501,1.16504,1.16411,1.16429,1210.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 17:00:00+00:00,1.16429,1.16498,1.16216,1.16374,2649.0,trade,1.16736,1.16717,1.16546,1.166362142857143,1.1627535714285713,3.0,0.6319816344909667
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 08:15:00+00:00,1.16536,1.1654,1.16434,1.16441,628.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 08:30:00+00:00,1.16441,1.16456,1.16401,1.16419,593.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 08:45:00+00:00,1.16418,1.1644700000000001,1.1639,1.1641,577.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 09:00:00+00:00,1.16411,1.1648399999999999,1.1641,1.16464,571.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 09:15:00+00:00,1.16464,1.16499,1.1644700000000001,1.16475,555.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 09:30:00+00:00,1.16474,1.16497,1.16451,1.16475,550.0,pre,1.1650800000000001,1.1646,1.16343,1.1642285714285714,1.1610342857142857,-1.0,0.6877273972229573
