setup_id,symbol,entry_time,exit_time,pnl_r,ml_confidence,ml_oof_probability,session_bucket,side,structure_event,mitigation_depth_pct,fvg_size_atr,hour,weekday
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 14:00:00+00:00,-1.0,0.873024116122491,0.6877273972229573,overlap,SHORT,bos,-0.5416666666669365,0.6601178781925932,13,Friday
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 14:15:00+00:00,-1.0,0.873024116122491,0.6877273972229573,overlap,SHORT,bos,-0.5416666666669365,0.6601178781925932,13,Friday
EURUSD_19983_SHORT_4212,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 15:30:00+00:00,-1.0,0.873024116122491,0.6877273972229573,overlap,SHORT,bos,-0.5416666666669365,0.6601178781925932,13,Friday
EURUSD_19984_SHORT_4213,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 14:00:00+00:00,-1.0,0.8719193070047356,0.6636181709257716,overlap,SHORT,bos,-1.0,0.05431619786620464,13,Friday
EURUSD_19984_SHORT_4213,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 14:15:00+00:00,-1.0,0.8719193070047356,0.6636181709257716,overlap,SHORT,bos,-1.0,0.05431619786620464,13,Friday
EURUSD_19984_SHORT_4213,EURUSD,2025-08-08 13:15:00+00:00,2025-08-08 15:30:00+00:00,-1.0,0.8719193070047356,0.6636181709257716,overlap,SHORT,bos,-1.0,0.05431619786620464,13,Friday
EURUSD_20005_LONG_4217,EURUSD,2025-08-08 17:45:00+00:00,2025-08-08 21:45:00+00:00,-1.0,0.8824925757249599,0.8689175746479211,new_york,LONG,bos,1.8000000000026646,0.06118881118866796,17,Friday
EURUSD_20464_LONG_4323,EURUSD,2025-08-15 15:45:00+00:00,2025-08-15 16:15:00+00:00,-1.0,0.8761689467740613,0.5898197027495321,overlap,LONG,bos,-1.0,0.047138047138004846,15,Friday
EURUSD_20464_LONG_4323,EURUSD,2025-08-15 15:45:00+00:00,2025-08-15 16:15:00+00:00,-1.0,0.8761689467740613,0.5898197027495321,overlap,LONG,bos,-1.0,0.047138047138004846,15,Friday
EURUSD_20957_LONG_4425,EURUSD,2025-08-22 15:45:00+00:00,2025-08-22 16:30:00+00:00,-1.0,0.8739327698499963,0.6801297440107895,overlap,LONG,bos,0.9166666666661528,0.6783310901752017,15,Friday
EURUSD_20957_LONG_4425,EURUSD,2025-08-22 15:45:00+00:00,2025-08-22 16:45:00+00:00,-1.0,0.8739327698499963,0.6801297440107895,overlap,LONG,bos,0.9166666666661528,0.6783310901752017,15,Friday
EURUSD_20957_LONG_4425,EURUSD,2025-08-22 15:45:00+00:00,2025-08-22 16:45:00+00:00,-1.0,0.8739327698499963,0.6801297440107895,overlap,LONG,bos,0.9166666666661528,0.6783310901752017,15,Friday
