period_type,date,pnl_usd,equity,peak,drawdown_usd,drawdown_pct
daily,2024-09-19 00:00:00+00:00,-90.0,-90.0,-90.0,0.0,0.0
daily,2024-09-24 00:00:00+00:00,221.3588208198987,131.3588208198987,131.3588208198987,0.0,0.0
daily,2024-09-25 00:00:00+00:00,-26.709502175892837,104.64931864400587,131.3588208198987,26.709502175892837,0.2033323838413049
daily,2024-10-01 00:00:00+00:00,439.23104563420657,543.8803642782125,543.8803642782125,0.0,0.0
daily,2024-10-10 00:00:00+00:00,-67.36933152106684,476.51103275714564,543.8803642782125,67.36933152106684,0.12386792380429686
daily,2024-10-11 00:00:00+00:00,626.3624302490074,1102.873463006153,1102.873463006153,0.0,0.0
daily,2024-10-15 00:00:00+00:00,76.23376623376512,1179.1072292399183,1179.1072292399183,0.0,0.0
daily,2024-10-16 00:00:00+00:00,-152.7713799507493,1026.335849289169,1179.1072292399183,152.7713799507494,0.1295652983564774
daily,2024-10-22 00:00:00+00:00,-54.7490510333195,971.5867982558494,1179.1072292399183,207.52043098406887,0.1759979294824964
daily,2024-10-23 00:00:00+00:00,174.90026019080628,1146.4870584466557,1179.1072292399183,32.62017079326256,0.027665143580105373
daily,2024-10-24 00:00:00+00:00,-45.34351145037753,1101.1435469962782,1179.1072292399183,77.96368224364005,0.06612094329529077
daily,2024-10-25 00:00:00+00:00,-90.0,1011.1435469962782,1179.1072292399183,167.96368224364005,0.14244987909362034
daily,2024-10-29 00:00:00+00:00,-24.776119402979695,986.3674275932985,1179.1072292399183,192.73980164661975,0.16346248828519575
daily,2024-10-30 00:00:00+00:00,30.0,1016.3674275932985,1179.1072292399183,162.73980164661975,0.13801950968575255
daily,2024-10-31 00:00:00+00:00,-49.436893666653475,966.930533926645,1179.1072292399183,212.17669531327329,0.1799469039385397
daily,2024-11-01 00:00:00+00:00,-49.62655601659941,917.3039779100457,1179.1072292399183,261.80325132987264,0.2220351506950199
daily,2024-11-05 00:00:00+00:00,35.63025210083606,952.9342300108817,1179.1072292399183,226.17299922903658,0.19181715930520865
daily,2024-11-06 00:00:00+00:00,-72.97761356226944,879.9566164486123,1179.1072292399183,299.150612791306,0.25370942130865054
daily,2024-11-07 00:00:00+00:00,-15.67044381490815,864.2861726337042,1179.1072292399183,314.82105660621414,0.2669995135295333
daily,2024-11-12 00:00:00+00:00,-90.0,774.2861726337042,1179.1072292399183,404.82105660621414,0.34332844932786294
daily,2024-11-13 00:00:00+00:00,147.37915407854635,921.6653267122505,1179.1072292399183,257.4419025276678,0.21833629388704642
daily,2024-11-14 00:00:00+00:00,321.69325074312894,1243.3585774553794,1243.3585774553794,0.0,0.0
daily,2024-11-19 00:00:00+00:00,-150.28771577258163,1093.0708616827978,1243.3585774553794,150.28771577258158,0.12087238428045105
daily,2024-11-20 00:00:00+00:00,179.63559190103234,1272.7064535838301,1272.7064535838301,0.0,0.0
daily,2024-11-21 00:00:00+00:00,-125.44776119403241,1147.2586923897977,1272.7064535838301,125.44776119403241,0.09856771044162028
daily,2024-11-22 00:00:00+00:00,-149.43286480957627,997.8258275802215,1272.7064535838301,274.88062600360865,0.21598116771512302
daily,2024-11-27 00:00:00+00:00,631.6269937418184,1629.4528213220399,1629.4528213220399,0.0,0.0
daily,2024-11-28 00:00:00+00:00,85.00533962621986,1714.4581609482598,1714.4581609482598,0.0,0.0
daily,2024-11-29 00:00:00+00:00,35.04648074369323,1749.504641691953,1749.504641691953,0.0,0.0
daily,2024-12-02 00:00:00+00:00,-90.0,1659.504641691953,1749.504641691953,90.0,0.0514431330190474
daily,2024-12-03 00:00:00+00:00,-270.0,1389.504641691953,1749.504641691953,360.0,0.2057725320761896
daily,2024-12-04 00:00:00+00:00,-248.31790123456688,1141.1867404573863,1749.504641691953,608.3179012345668,0.3477086523453062
daily,2024-12-05 00:00:00+00:00,-42.39600665557275,1098.7907338018135,1749.504641691953,650.7139078901396,0.37194180134374005
daily,2024-12-10 00:00:00+00:00,216.61259780946423,1315.4033316112777,1749.504641691953,434.1013100806754,0.24812812709136584
daily,2024-12-11 00:00:00+00:00,270.0,1585.4033316112777,1749.504641691953,164.10131008067538,0.09379872803422364
daily,2024-12-12 00:00:00+00:00,454.38172856983743,2039.785060181115,2039.785060181115,0.0,0.0
daily,2024-12-13 00:00:00+00:00,196.61201179071213,2236.3970719718272,2236.3970719718272,0.0,0.0
daily,2024-12-17 00:00:00+00:00,-54.861913937060464,2181.535158034767,2236.3970719718272,54.86191393706031,0.0245313833686469
daily,2024-12-18 00:00:00+00:00,146.58931462492856,2328.1244726596956,2328.1244726596956,0.0,0.0
daily,2024-12-19 00:00:00+00:00,180.11494252873504,2508.2394151884305,2508.2394151884305,0.0,0.0
daily,2024-12-20 00:00:00+00:00,233.9963614311696,2742.2357766196,2742.2357766196,0.0,0.0
daily,2024-12-24 00:00:00+00:00,-90.0,2652.2357766196,2742.2357766196,90.0,0.03281993502066569
daily,2024-12-27 00:00:00+00:00,132.08647114295258,2784.3222477625527,2784.3222477625527,0.0,0.0
daily,2024-12-31 00:00:00+00:00,154.14638783270138,2938.468635595254,2938.468635595254,0.0,0.0
daily,2025-01-03 00:00:00+00:00,-111.0604332953259,2827.4082022999282,2938.468635595254,111.06043329532577,0.03779534412924844
daily,2025-01-07 00:00:00+00:00,179.9764705882323,3007.3846728881604,3007.3846728881604,0.0,0.0
daily,2025-01-08 00:00:00+00:00,-133.4880998829521,2873.896573005208,3007.3846728881604,133.48809988295216,0.0443867726953453
daily,2025-01-09 00:00:00+00:00,197.15941542079673,3071.055988426005,3071.055988426005,0.0,0.0
daily,2025-01-14 00:00:00+00:00,-84.25554016620431,2986.8004482598008,3071.055988426005,84.25554016620436,0.027435364410072993
daily,2025-01-15 00:00:00+00:00,-31.25996810207426,2955.5404801577265,3071.055988426005,115.51550826827861,0.03761426320575916
daily,2025-01-16 00:00:00+00:00,28.047650562541868,2983.5881307202685,3071.055988426005,87.4678577057366,0.02848136212279416
daily,2025-01-17 00:00:00+00:00,-174.18426103646968,2809.403869683799,3071.055988426005,261.6521187422063,0.08519939712213118
daily,2025-01-21 00:00:00+00:00,170.08881363901676,2979.4926833228155,3071.055988426005,91.56330510318958,0.029814925370383143
daily,2025-01-23 00:00:00+00:00,-25.617402431218572,2953.875280891597,3071.055988426005,117.18070753440816,0.038156486881395564
daily,2025-01-24 00:00:00+00:00,-78.25978595514316,2875.6154949364536,3071.055988426005,195.4404934895515,0.06363950843817724
daily,2025-01-29 00:00:00+00:00,-319.3635193276226,2556.251975608831,3071.055988426005,514.8040128171742,0.16763094347915958
daily,2025-01-30 00:00:00+00:00,-270.0,2286.251975608831,3071.055988426005,784.8040128171742,0.25554858516904033
daily,2025-01-31 00:00:00+00:00,-180.0,2106.251975608831,3071.055988426005,964.8040128171742,0.31416034629562745
