experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos
D,EURUSD_56_LONG_5,EURUSD,LONG,2024-10-18 15:45:00+00:00,2024-10-18 17:00:00+00:00,2024-10-18 17:45:00+00:00,61,1.0,0.8780798783561206,-1.0,-30.0,3,new_york,bos,internal,none,5,1,-1.0,1,,,-0.5064599483204985,4.811369509043932,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_56_LONG_5,EURUSD,LONG,2024-10-18 15:45:00+00:00,2024-10-18 17:00:00+00:00,2024-10-18 21:00:00+00:00,61,1.5,0.8780798783561206,0.18087855297141534,5.42635658914246,16,new_york,bos,internal,none,5,1,-1.0,1,,,-0.5064599483204985,4.811369509043932,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_56_LONG_5,EURUSD,LONG,2024-10-18 15:45:00+00:00,2024-10-18 17:00:00+00:00,2024-10-18 21:00:00+00:00,61,2.0,0.8780798783561206,0.1356589147285615,4.069767441856845,16,new_york,bos,internal,none,5,1,-1.0,1,,,-0.5064599483204985,4.811369509043932,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_120_SHORT_17,EURUSD,SHORT,2024-10-21 07:45:00+00:00,2024-10-21 08:15:00+00:00,2024-10-21 09:15:00+00:00,122,1.0,0.8786339365405377,3.0,90.0,4,london,bos,internal,none,2,1,0.6800000000003908,2,,,-2.6746268656712067,1.4208955223879156,0,0.8660254037844387,-0.4999999999999998
D,EURUSD_120_SHORT_17,EURUSD,SHORT,2024-10-21 07:45:00+00:00,2024-10-21 08:15:00+00:00,2024-10-21 09:45:00+00:00,122,1.5,0.8786339365405377,3.0,90.0,6,london,bos,internal,none,2,1,0.6800000000003908,2,,,-2.6746268656712067,1.4208955223879156,0,0.8660254037844387,-0.4999999999999998
D,EURUSD_120_SHORT_17,EURUSD,SHORT,2024-10-21 07:45:00+00:00,2024-10-21 08:15:00+00:00,2024-10-21 10:45:00+00:00,122,2.0,0.8786339365405377,3.0,90.0,10,london,bos,internal,none,2,1,0.6800000000003908,2,,,-2.6746268656712067,1.4208955223879156,0,0.8660254037844387,-0.4999999999999998
D,EURUSD_126_SHORT_18,EURUSD,SHORT,2024-10-21 09:15:00+00:00,2024-10-21 09:45:00+00:00,2024-10-21 10:00:00+00:00,128,1.0,0.8802209994872383,-1.0,-30.0,1,london,bos,internal,none,2,1,-1.0,1,,,-5.291866028707475,0.3349282296650113,0,0.7071067811865476,-0.7071067811865475
D,EURUSD_126_SHORT_18,EURUSD,SHORT,2024-10-21 09:15:00+00:00,2024-10-21 09:45:00+00:00,2024-10-21 10:15:00+00:00,128,1.5,0.8802209994872383,-1.0,-30.0,2,london,bos,internal,none,2,1,-1.0,1,,,-5.291866028707475,0.3349282296650113,0,0.7071067811865476,-0.7071067811865475
D,EURUSD_126_SHORT_18,EURUSD,SHORT,2024-10-21 09:15:00+00:00,2024-10-21 09:45:00+00:00,2024-10-21 13:45:00+00:00,128,2.0,0.8802209994872383,0.8373205741625281,25.119617224875846,16,london,bos,internal,none,2,1,-1.0,1,,,-5.291866028707475,0.3349282296650113,0,0.7071067811865476,-0.7071067811865475
D,EURUSD_128_SHORT_19,EURUSD,SHORT,2024-10-21 09:45:00+00:00,2024-10-21 10:15:00+00:00,2024-10-21 11:45:00+00:00,130,1.0,0.877634738513182,-1.0,-30.0,6,london,bos,internal,none,2,1,2.0,2,,,-4.211382113820516,1.1951219512196432,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_128_SHORT_19,EURUSD,SHORT,2024-10-21 09:45:00+00:00,2024-10-21 10:15:00+00:00,2024-10-21 14:15:00+00:00,130,1.5,0.877634738513182,0.3983739837398811,11.951219512196433,16,london,bos,internal,none,2,1,2.0,2,,,-4.211382113820516,1.1951219512196432,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_128_SHORT_19,EURUSD,SHORT,2024-10-21 09:45:00+00:00,2024-10-21 10:15:00+00:00,2024-10-21 14:15:00+00:00,130,2.0,0.877634738513182,0.2987804878049108,8.963414634147323,16,london,bos,internal,none,2,1,2.0,2,,,-4.211382113820516,1.1951219512196432,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_154_SHORT_22,EURUSD,SHORT,2024-10-21 16:15:00+00:00,2024-10-21 17:15:00+00:00,2024-10-21 18:15:00+00:00,158,1.0,0.8823363966659408,3.0,90.0,4,new_york,bos,internal,none,4,3,-1.0,1,,,-3.9276018099544814,-0.6968325791853591,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_154_SHORT_22,EURUSD,SHORT,2024-10-21 16:15:00+00:00,2024-10-21 17:15:00+00:00,2024-10-21 19:15:00+00:00,158,1.5,0.8823363966659408,3.0,90.0,8,new_york,bos,internal,none,4,3,-1.0,1,,,-3.9276018099544814,-0.6968325791853591,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_154_SHORT_22,EURUSD,SHORT,2024-10-21 16:15:00+00:00,2024-10-21 17:15:00+00:00,2024-10-21 21:15:00+00:00,158,2.0,0.8823363966659408,2.618401206636399,78.55203619909197,16,new_york,bos,internal,none,4,3,-1.0,1,,,-3.9276018099544814,-0.6968325791853591,0,-0.9659258262890683,-0.25881904510252063
D,EURUSD_222_LONG_36,EURUSD,LONG,2024-10-22 09:15:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 10:30:00+00:00,226,1.0,0.8782781795325124,3.0,90.0,1,london,bos,internal,none,4,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_222_LONG_36,EURUSD,LONG,2024-10-22 09:15:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 12:30:00+00:00,226,1.5,0.8782781795325124,-1.0,-30.0,9,london,bos,internal,none,4,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_222_LONG_36,EURUSD,LONG,2024-10-22 09:15:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 12:45:00+00:00,226,2.0,0.8782781795325124,-1.0,-30.0,10,london,bos,internal,none,4,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_223_LONG_37,EURUSD,LONG,2024-10-22 09:30:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 10:30:00+00:00,226,1.0,0.8843407956373518,3.0,90.0,1,london,bos,internal,none,3,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_223_LONG_37,EURUSD,LONG,2024-10-22 09:30:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 12:30:00+00:00,226,1.5,0.8843407956373518,-1.0,-30.0,9,london,bos,internal,none,3,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_223_LONG_37,EURUSD,LONG,2024-10-22 09:30:00+00:00,2024-10-22 10:15:00+00:00,2024-10-22 12:45:00+00:00,226,2.0,0.8843407956373518,-1.0,-30.0,10,london,bos,internal,none,3,1,-1.0,1,-14.032183908045472,5.471264367816108,-0.25747126436806905,4.183908045977192,0,0.49999999999999994,-0.8660254037844387
D,EURUSD_231_SHORT_39,EURUSD,SHORT,2024-10-22 11:30:00+00:00,2024-10-22 12:45:00+00:00,2024-10-22 13:15:00+00:00,236,1.0,0.8790885446038085,-1.0,-30.0,2,overlap,bos,internal,none,5,4,-1.0,2,-10.233595800524718,0.9002624671917921,-4.060367454068346,-0.42257217847760514,0,1.2246467991473532e-16,-1.0
D,EURUSD_231_SHORT_39,EURUSD,SHORT,2024-10-22 11:30:00+00:00,2024-10-22 12:45:00+00:00,2024-10-22 13:15:00+00:00,236,1.5,0.8790885446038085,-1.0,-30.0,2,overlap,bos,internal,none,5,4,-1.0,2,-10.233595800524718,0.9002624671917921,-4.060367454068346,-0.42257217847760514,0,1.2246467991473532e-16,-1.0
D,EURUSD_231_SHORT_39,EURUSD,SHORT,2024-10-22 11:30:00+00:00,2024-10-22 12:45:00+00:00,2024-10-22 13:15:00+00:00,236,2.0,0.8790885446038085,-1.0,-30.0,2,overlap,bos,internal,none,5,4,-1.0,2,-10.233595800524718,0.9002624671917921,-4.060367454068346,-0.42257217847760514,0,1.2246467991473532e-16,-1.0
