streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
1,loss,3,2024-09-19 17:30:00+00:00,2024-09-19 18:45:00+00:00,-3.0,-90.0,XAUUSD_148_SHORT_38,XAUUSD_148_SHORT_38
2,win,9,2024-09-24 19:30:00+00:00,2024-09-25 02:30:00+00:00,9.488310621466864,284.6493186440059,XAUUSD_423_LONG_95,XAUUSD_445_LONG_99
3,loss,3,2024-09-25 17:45:00+00:00,2024-09-25 17:45:00+00:00,-3.0,-90.0,XAUUSD_518_LONG_112,XAUUSD_518_LONG_112
4,win,6,2024-10-01 13:00:00+00:00,2024-10-01 19:45:00+00:00,14.641034854473553,439.2310456342066,XAUUSD_854_LONG_193,XAUUSD_881_LONG_197
5,loss,3,2024-10-10 18:30:00+00:00,2024-10-10 20:45:00+00:00,-2.2456443840355615,-67.36933152106684,XAUUSD_1528_LONG_319,XAUUSD_1528_LONG_319
6,win,12,2024-10-11 18:00:00+00:00,2024-10-15 21:15:00+00:00,23.419873216092416,702.5961964827725,XAUUSD_1617_LONG_340,XAUUSD_1780_LONG_366
7,loss,11,2024-10-16 16:45:00+00:00,2024-10-22 17:00:00+00:00,-7.092379331691643,-212.77137995074932,XAUUSD_1891_LONG_390,XAUUSD_2254_LONG_461
8,win,1,2024-10-22 20:30:00+00:00,2024-10-22 20:30:00+00:00,1.1750316322226833,35.2509489666805,XAUUSD_2254_LONG_461,XAUUSD_2254_LONG_461
9,loss,6,2024-10-22 21:30:00+00:00,2024-10-23 11:45:00+00:00,-4.169991326973124,-125.09973980919372,XAUUSD_2281_LONG_472,GBPUSD_320_SHORT_58
10,win,6,2024-10-23 17:15:00+00:00,2024-10-24 15:00:00+00:00,10.488549618320748,314.65648854962245,XAUUSD_2358_SHORT_491,XAUUSD_2424_LONG_507
11,loss,7,2024-10-24 20:00:00+00:00,2024-10-29 19:30:00+00:00,-7.0,-210.0,GBPUSD_448_SHORT_81,GBPUSD_733_LONG_123
12,win,3,2024-10-29 22:45:00+00:00,2024-10-30 15:45:00+00:00,3.1741293532340102,95.2238805970203,GBPUSD_733_LONG_123,GBPUSD_815_SHORT_143
13,loss,3,2024-10-30 16:45:00+00:00,2024-10-31 19:15:00+00:00,-3.0,-90.0,GBPUSD_815_SHORT_143,GBPUSD_929_SHORT_170
