regime,n,valid_rate,score_mean,signed_return_1_mean,continuity_1_mean,signed_return_3_mean,continuity_3_mean,signed_return_5_mean,continuity_5_mean,signed_return_10_mean,continuity_10_mean,signed_return_20_mean,continuity_20_mean
BULLISH,26501,0.02056526168823818,27.107744784472604,0.04463655085750188,0.48807339449541287,0.04796286104068634,0.4990825688073395,0.029562845429667615,0.5211009174311927,0.24509249652860288,0.5321100917431193,0.43379248570983464,0.5100917431192661
BEARISH,11740,0.01899488926746167,57.8433395152118,0.14332050295330173,0.5560538116591929,0.2709194680034517,0.5515695067264574,0.5402326601145858,0.5874439461883408,0.7484411618517149,0.5739910313901345,1.1419150598697794,0.5650224215246636
RANGING,261759,0.0,34.249136303692765,,,,,,,,,,
