regime,n,valid_rate,score_mean,signed_return_1_mean,continuity_1_mean,signed_return_3_mean,continuity_3_mean,signed_return_5_mean,continuity_5_mean,signed_return_10_mean,continuity_10_mean,signed_return_20_mean,continuity_20_mean
BULLISH,26501,0.022527451794271913,26.994431953331866,0.04300285730346828,0.49246231155778897,0.05207810419166114,0.5058626465661642,0.04848744444969814,0.5293132328308208,0.2740682440349508,0.542713567839196,0.44128517698511066,0.5142378559463987
BEARISH,11740,0.021039182282793868,57.8433395152118,0.11543632972057885,0.5465587044534413,0.2376244676824621,0.5384615384615384,0.4869522039579346,0.5748987854251012,0.7223798298459084,0.562753036437247,0.9922524796357567,0.5465587044534413
RANGING,261759,0.0,34.249136303692765,,,,,,,,,,
