variant,time_block,n,signed_return_10_mean,continuity_10_mean,pullback_score_mean
with_rsi,FINAL,256,0.08689330360130358,0.484375,38.62303703002108
with_rsi,INICIO,256,0.44570699069190844,0.58203125,37.577901887151015
with_rsi,MITAD,256,0.6411410717264013,0.56640625,37.25085621491523
without_rsi,FINAL,282,0.15542788994320372,0.5070921985815603,38.43082172436369
without_rsi,INICIO,281,0.47261111334942557,0.597864768683274,37.45945479083446
without_rsi,MITAD,281,0.588655415820758,0.5409252669039146,37.46939570872591
