symbol,n,valid_n,valid_rate,score_mean,signed_return_1_mean,continuity_1_mean,signed_return_3_mean,continuity_3_mean,signed_return_5_mean,continuity_5_mean,signed_return_10_mean,continuity_10_mean,signed_return_20_mean,continuity_20_mean
EURUSD,100000,174,0.00174,37.834385367326185,0.04595143223351191,0.5172413793103449,0.1061511407148932,0.4885057471264368,0.17540528451433013,0.5689655172413793,0.18627520690328894,0.5574712643678161,0.7508272902518622,0.5517241379310345
GBPUSD,100000,207,0.00207,37.60660378462733,0.1862977698757701,0.5217391304347826,0.1435310120080151,0.5362318840579711,0.1524716590058666,0.5265700483091788,0.37663169573809907,0.4927536231884058,0.6558568854225929,0.4927536231884058
XAUUSD,100000,387,0.00387,37.922246812614326,0.025137480111135247,0.49612403100775193,0.09915654434597732,0.5142118863049095,0.19251028693801986,0.5348837209302325,0.4912225909097214,0.5658914728682171,0.580510695804961,0.5322997416020672
