feature,importance
distance_eql,0.16332624075625019
distance_eqh,0.15951769032588464
distance_prev_day_high,0.13749624040071498
distance_prev_day_low,0.1326122505960529
mitigation_depth_pct,0.07674365510788674
hour_cos,0.05935282117161726
bars_since_fvg_creation,0.05721229768345841
bars_since_mitigation,0.05558020565702537
hour_sin,0.055455360737400004
mitigation_touch_count,0.03336922784648287
symbol_code,0.025183057509898688
session_bucket_code,0.018744301272620622
ob_state_code,0.01792138246947405
side_code,0.0072206069733459916
ob_overlap_with_fvg,0.0002646614918871888
structure_scale_code,0.0
structure_event_code,0.0
