score_bin,n,valid_rate,signed_return_1_mean,continuity_1_mean,mfe_r_1_mean,signed_return_3_mean,continuity_3_mean,mfe_r_3_mean,signed_return_5_mean,continuity_5_mean,mfe_r_5_mean,signed_return_10_mean,continuity_10_mean,mfe_r_10_mean,signed_return_20_mean,continuity_20_mean,mfe_r_20_mean
0-10,16809,0.0,-0.0001831787876690828,0.3125,0.3187243212225614,-0.0002540619728364752,0.1875,0.5484121615525535,-0.0002450782913520519,0.3125,0.9067549705116364,-0.00042495985549919653,0.4375,1.4685230698404508,-0.0003227200935477918,0.5,2.6390175837798426
10-20,66857,4.487189075190331e-05,0.001123809611844577,0.501703229322796,0.5342299586308399,0.0020371549909964943,0.49707044556479085,0.943473208285223,0.005253242301382499,0.49693418721896715,1.24366559765492,0.01129898254054335,0.5032020711268566,1.7925808618598462,0.015077578375201423,0.5093336966889221,2.6827910515853217
20-30,50165,0.0031496062992125984,0.009072105103133579,0.5063988473599458,0.5787019970248731,0.02290938394377395,0.5268243071446733,1.0564048040031326,0.036679029388063125,0.5301296720061022,1.4066683539133564,0.0642459989239291,0.5356386134418171,2.0514861122079013,0.10752063010950753,0.5491143317230274,3.0217552135946972
30-40,51183,0.005880858878924643,0.002769579918543581,0.51326341764343,0.5455513942563144,0.005207411134465675,0.512646514497224,0.9883917319434116,0.00964394262927488,0.5243676742751388,1.3151761196906688,0.019371047895719452,0.5377339091096032,1.9560562935939483,0.042812934631034194,0.5362944684351224,2.967129139650118
40-50,47290,0.004948192006766759,-0.0030887069108368114,0.49301310043668123,0.5088059793883534,-0.0007863005555568323,0.4978165938864629,0.9268769080006201,0.0005828792851038174,0.4982532751091703,1.2362052058042439,0.009731669829497098,0.5074235807860262,1.8600703789637192,0.023738189965563445,0.5172489082969433,2.8163901711393104
50-60,38718,0.001807944625238907,-0.0031183281499930545,0.4778113968734241,0.5539657496013412,-0.006098995429578468,0.48663640948058495,0.9847135503888672,-0.004963104636359656,0.4773071104387292,1.2872010004196404,0.00097876990869213,0.49067070095814425,1.8763842393689747,0.021352487352848188,0.5136157337367625,2.8861475324163073
60-70,20504,9.754194303550527e-05,0.005023996670909439,0.4948517940717629,0.5665160013695253,0.011131378968063977,0.509204368174727,1.019250826066013,0.012421690139987797,0.5051482059282372,1.3342114597226122,0.01916368701408044,0.5204368174726989,1.9182618889054366,0.05856981440111405,0.5407176287051482,3.022083794425283
70-80,7731,0.0,-0.004008429622170994,0.46576007770762506,0.5765863530720027,0.013323482819460995,0.4910150558523555,1.0554082192124734,0.004206587272665781,0.47984458474987857,1.3985262869254818,-0.007155916676230876,0.4861583292860612,1.9713547585725628,0.03777552945787378,0.5240407965031568,2.943017731182532
80-90,737,0.0,-0.013319625037556971,0.48284313725490197,0.682625399044293,0.006418951006540856,0.46568627450980393,1.1588529994594783,0.03753571288845242,0.49019607843137253,1.595281496258461,0.021684524477175025,0.48284313725490197,2.2210760506590987,0.2517556100477783,0.5343137254901961,3.3579515948047596
90-100,6,0.0,-0.7138868840690132,0.16666666666666666,0.5820197866135186,-1.620604471023784,0.0,0.5820197866135186,-1.7835201518981378,0.0,0.7484388059300033,-1.0987140924476237,0.3333333333333333,1.0097318420047061,2.6869775179920663,0.6666666666666666,6.5240104437629975
