setup_id,bar_idx,time,reason
EURUSD_494_LONG_91,497,2024-10-25 06:00:00+00:00,FVG_INVALIDATED
EURUSD_509_SHORT_93,514,2024-10-25 10:15:00+00:00,FVG_INVALIDATED
EURUSD_511_SHORT_94,513,2024-10-25 10:00:00+00:00,FVG_INVALIDATED
EURUSD_514_LONG_95,532,2024-10-25 14:45:00+00:00,OPPOSITE_BOS
EURUSD_536_LONG_97,546,2024-10-25 18:15:00+00:00,OPPOSITE_CHOCH
EURUSD_539_SHORT_99,540,2024-10-25 16:45:00+00:00,FVG_INVALIDATED
EURUSD_541_LONG_100,543,2024-10-25 17:30:00+00:00,FVG_INVALIDATED
EURUSD_547_SHORT_101,609,2024-10-28 10:00:00+00:00,OPPOSITE_CHOCH
EURUSD_548_SHORT_102,609,2024-10-28 10:00:00+00:00,OPPOSITE_CHOCH
EURUSD_550_SHORT_103,609,2024-10-28 10:00:00+00:00,OPPOSITE_CHOCH
EURUSD_558_SHORT_105,559,2024-10-25 21:30:00+00:00,FVG_INVALIDATED
EURUSD_592_SHORT_109,605,2024-10-28 09:00:00+00:00,FVG_INVALIDATED
EURUSD_593_SHORT_110,605,2024-10-28 09:00:00+00:00,FVG_INVALIDATED
EURUSD_596_SHORT_111,599,2024-10-28 07:30:00+00:00,FVG_INVALIDATED
EURUSD_600_LONG_112,601,2024-10-28 08:00:00+00:00,FVG_INVALIDATED
EURUSD_602_SHORT_113,604,2024-10-28 08:45:00+00:00,FVG_INVALIDATED
EURUSD_604_LONG_114,652,2024-10-28 20:45:00+00:00,OPPOSITE_BOS
EURUSD_605_LONG_115,652,2024-10-28 20:45:00+00:00,OPPOSITE_BOS
EURUSD_613_LONG_117,652,2024-10-28 20:45:00+00:00,OPPOSITE_BOS
EURUSD_614_LONG_118,652,2024-10-28 20:45:00+00:00,OPPOSITE_BOS
EURUSD_617_LONG_119,618,2024-10-28 12:15:00+00:00,FVG_INVALIDATED
EURUSD_619_SHORT_120,621,2024-10-28 13:00:00+00:00,FVG_INVALIDATED
EURUSD_629_LONG_121,631,2024-10-28 15:30:00+00:00,FVG_INVALIDATED
EURUSD_630_LONG_122,631,2024-10-28 15:30:00+00:00,FVG_INVALIDATED
EURUSD_632_SHORT_123,638,2024-10-28 17:15:00+00:00,FVG_INVALIDATED
EURUSD_643_SHORT_124,645,2024-10-28 19:00:00+00:00,FVG_INVALIDATED
EURUSD_646_LONG_125,647,2024-10-28 19:30:00+00:00,FVG_INVALIDATED
EURUSD_648_SHORT_126,676,2024-10-29 02:45:00+00:00,OPPOSITE_BOS
EURUSD_653_SHORT_127,658,2024-10-28 22:15:00+00:00,FVG_INVALIDATED
EURUSD_659_LONG_128,663,2024-10-28 23:30:00+00:00,FVG_INVALIDATED
EURUSD_670_SHORT_129,673,2024-10-29 02:00:00+00:00,FVG_INVALIDATED
