score_bin,n,valid_rate,signed_return_1_mean,continuity_1_mean,mfe_r_1_mean,signed_return_3_mean,continuity_3_mean,mfe_r_3_mean,signed_return_5_mean,continuity_5_mean,mfe_r_5_mean,signed_return_10_mean,continuity_10_mean,mfe_r_10_mean,signed_return_20_mean,continuity_20_mean,mfe_r_20_mean
0-10,16809,0.0,-0.0001831787876690828,0.3125,0.3187243212225614,-0.0002540619728364752,0.1875,0.5484121615525535,-0.0002450782913520519,0.3125,0.9067549705116364,-0.00042495985549919653,0.4375,1.4685230698404508,-0.0003227200935477918,0.5,2.6390175837798426
10-20,66882,5.9806823958613676e-05,0.0012038434815104832,0.5025801195002716,0.5345529834828816,0.0022644061228399687,0.49796306355241715,0.9441458045032252,0.005351887936617256,0.49714828897338403,1.2438077864892387,0.011349475165968343,0.5029875067897882,1.7912594767564112,0.015505481790488362,0.5097772949483976,2.683494405778221
20-30,50225,0.0034245893479342955,0.008835194163273025,0.5054389071591197,0.577585164647874,0.022712713964934773,0.5262669702335778,1.054566496976766,0.0364823280976044,0.5293026393456447,1.4042967131499626,0.0635899633297887,0.5344464120077578,2.0476952540862055,0.10750905672636335,0.548865840290075,3.0190531812410475
30-40,51184,0.006486402000625196,0.0027251508332770172,0.512952302631579,0.5452288031288265,0.005087648022915493,0.5127467105263158,0.9870633481548353,0.009712727511622166,0.5244654605263158,1.3144149513470986,0.01945128145276294,0.5388569078947368,1.9537943153570005,0.0429116920189018,0.5357730263157895,2.9667964614540487
40-50,47279,0.005456968209987521,-0.0029142486610246473,0.49398117750054715,0.5098096916819347,-0.0006982747673467196,0.49748303786386516,0.9277840414808781,0.0008367857917033333,0.49923396804552417,1.2390616439513173,0.009999630404521245,0.5077697526811118,1.86752474027894,0.02334057713978191,0.5167432698621143,2.821918841610816
50-60,38666,0.0019396886153209539,-0.0031214789547592227,0.4775166070516096,0.5548235621041622,-0.00615510129601085,0.4867143587123148,0.987204848535686,-0.005293031426871607,0.4772611139499234,1.288144743096433,0.0012477321660071322,0.4920797138477261,1.8789599045758338,0.021053691160688615,0.515074092999489,2.883414244067752
60-70,20483,0.00014646292047063418,0.005001452231006138,0.49528894472361806,0.5672961811783034,0.01097140747496436,0.5087939698492462,1.0207891056607734,0.012234453168501965,0.5050251256281407,1.3362275259979544,0.01896580265542371,0.5204145728643216,1.9219516561648458,0.058161544963265636,0.539572864321608,3.024861514139601
70-80,7729,0.0,-0.003946143380195708,0.4657267865824016,0.5769932488337227,0.013400657384017379,0.4910063198833252,1.0561236063739037,0.004468509002509853,0.4803111327175498,1.3995752842645621,-0.006788678199408258,0.48663101604278075,1.9724240820124932,0.03796068376955243,0.5245503159941662,2.9450317925637455
80-90,737,0.0,-0.013319625037556971,0.48284313725490197,0.682625399044293,0.006418951006540856,0.46568627450980393,1.1588529994594783,0.03753571288845242,0.49019607843137253,1.595281496258461,0.021684524477175025,0.48284313725490197,2.2210760506590987,0.2517556100477783,0.5343137254901961,3.3579515948047596
90-100,6,0.0,-0.7138868840690132,0.16666666666666666,0.5820197866135186,-1.620604471023784,0.0,0.5820197866135186,-1.7835201518981378,0.0,0.7484388059300033,-1.0987140924476237,0.3333333333333333,1.0097318420047061,2.6869775179920663,0.6666666666666666,6.5240104437629975
