symbol,entry_time,exit_time,direction,confidence,entry,exit,pnl_r
EURUSD,2026-01-15 16:30:00+00:00,2026-01-15 18:15:00+00:00,-1,0.6886227544910178,1.15954,1.161042857142857,-1.0
EURUSD,2026-03-03 10:45:00+00:00,2026-03-03 17:00:00+00:00,-1,0.6886227544910178,1.16229,1.1559942857142855,3.0
EURUSD,2026-03-03 11:15:00+00:00,2026-03-03 17:00:00+00:00,-1,0.6886227544910178,1.1616,1.1550385714285711,3.0
EURUSD,2026-03-05 10:15:00+00:00,2026-03-05 11:00:00+00:00,-1,0.6886227544910178,1.15832,1.16043,-1.0
EURUSD,2026-03-06 11:00:00+00:00,2026-03-06 18:30:00+00:00,-1,0.6886227544910178,1.1591,1.1607757142857142,-1.0
EURUSD,2026-03-13 07:00:00+00:00,2026-03-13 10:00:00+00:00,-1,0.6402439024390244,1.15062,1.1478214285714285,3.000000000000238
EURUSD,2026-03-19 11:00:00+00:00,2026-03-19 12:00:00+00:00,-1,0.6886227544910178,1.14478,1.14649,-1.0
EURUSD,2026-03-19 11:30:00+00:00,2026-03-19 12:15:00+00:00,-1,0.6886227544910178,1.14461,1.1466214285714285,-1.0
EURUSD,2026-04-14 13:00:00+00:00,2026-04-15 01:00:00+00:00,1,0.7865853658536587,1.1798,1.17954,-0.15568862275446235
EURUSD,2026-05-15 10:15:00+00:00,2026-05-15 13:45:00+00:00,-1,0.6886227544910178,1.16427,1.1655114285714285,-1.0
EURUSD,2026-05-22 10:00:00+00:00,2026-05-22 11:00:00+00:00,-1,0.6886227544910178,1.1602000000000001,1.161,-1.0
