symbol,side,qualified_fvg_count,retested_count,avg_bars_to_mitigation,avg_distance_creation_to_retest_atr,pct_never_mitigated
EURUSD,LONG,4368,4293,52.69067405355494,0.5900444067501629,0.008241758241758242
EURUSD,SHORT,4215,4158,62.74565372707787,0.5835136372089273,0.0037959667852906285
GBPUSD,LONG,4262,4205,76.87679962237432,0.5762625657660454,0.005865790708587518
GBPUSD,SHORT,4173,4122,83.17228103946103,0.5867438476444244,0.0040738078121255695
XAUUSD,LONG,4626,4446,56.37770419426049,0.5901822084513418,0.020752269779507133
XAUUSD,SHORT,3721,3608,50.43577235772358,0.6322983461950394,0.0083310937919914
