setup_id,symbol,entry_time,exit_time,pnl_r,ml_confidence,ml_oof_probability,session_bucket,side,structure_event,mitigation_depth_pct,fvg_size_atr,hour,weekday
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:15:00+00:00,2025-08-07 17:00:00+00:00,3.0,0.8782982726573897,0.6319816344909667,overlap,SHORT,bos,-1.0,0.23333333333322426,14,Thursday
EURUSD_19892_SHORT_4192,EURUSD,2025-08-07 14:15:00+00:00,2025-08-07 18:00:00+00:00,3.0,0.8782982726573897,0.6319816344909667,overlap,SHORT,bos,-1.0,0.23333333333322426,14,Thursday
EURUSD_20452_LONG_4320,EURUSD,2025-08-15 09:30:00+00:00,2025-08-15 11:00:00+00:00,3.0,0.8859758618374509,0.7203209465274102,london,LONG,bos,0.5500000000003331,0.5645161290322883,9,Friday
EURUSD_20452_LONG_4320,EURUSD,2025-08-15 09:30:00+00:00,2025-08-15 13:00:00+00:00,3.0,0.8859758618374509,0.7203209465274102,london,LONG,bos,0.5500000000003331,0.5645161290322883,9,Friday
EURUSD_21905_LONG_4654,EURUSD,2025-09-05 12:45:00+00:00,2025-09-05 15:30:00+00:00,3.0,0.8522840911322261,0.6468872574617222,overlap,LONG,bos,1.1282051282054348,0.6515513126489602,12,Friday
EURUSD_23045_SHORT_4916,EURUSD,2025-09-23 09:45:00+00:00,2025-09-23 10:15:00+00:00,3.0,0.8843083984934532,0.7050954058310861,london,SHORT,bos,2.0,0.8048411497731159,9,Tuesday
EURUSD_23263_SHORT_4948,EURUSD,2025-09-25 16:15:00+00:00,2025-09-25 18:00:00+00:00,3.0,0.8629755828901807,0.6341621171410249,overlap,SHORT,bos,0.1849056603773939,2.7686567164178912,16,Thursday
EURUSD_23263_SHORT_4948,EURUSD,2025-09-25 16:15:00+00:00,2025-09-25 20:15:00+00:00,3.0,0.8629755828901807,0.6341621171410249,overlap,SHORT,bos,0.1849056603773939,2.7686567164178912,16,Thursday
EURUSD_23267_SHORT_4949,EURUSD,2025-09-25 17:15:00+00:00,2025-09-25 21:00:00+00:00,3.0,0.8758984738512975,0.7088533185974005,new_york,SHORT,bos,-0.3448275862068437,0.5181876196554197,17,Thursday
EURUSD_23521_LONG_5001,EURUSD,2025-09-30 08:45:00+00:00,2025-09-30 10:15:00+00:00,3.0,0.8865499528354435,0.5792325179096666,london,LONG,bos,-0.6818181818189617,0.54035087719268,8,Tuesday
EURUSD_23521_LONG_5001,EURUSD,2025-09-30 08:45:00+00:00,2025-09-30 11:15:00+00:00,3.0,0.8865499528354435,0.5792325179096666,london,LONG,bos,-0.6818181818189617,0.54035087719268,8,Tuesday
EURUSD_23521_LONG_5001,EURUSD,2025-09-30 08:45:00+00:00,2025-09-30 11:30:00+00:00,3.0,0.8865499528354435,0.5792325179096666,london,LONG,bos,-0.6818181818189617,0.54035087719268,8,Tuesday
EURUSD_23716_LONG_5050,EURUSD,2025-10-02 09:45:00+00:00,2025-10-02 12:15:00+00:00,3.0,0.8769927888859622,0.6216938621281157,london,LONG,bos,2.0,0.07692307692301123,9,Thursday
EURUSD_23717_LONG_5051,EURUSD,2025-10-02 09:45:00+00:00,2025-10-02 12:15:00+00:00,3.0,0.8847606916752523,0.674292716981376,london,LONG,bos,2.0,0.29787234042527394,9,Thursday
EURUSD_24001_SHORT_5107,EURUSD,2025-10-07 09:00:00+00:00,2025-10-07 10:30:00+00:00,3.0,0.8794965114604993,0.5943037969448554,london,SHORT,bos,-0.1904761904763415,0.4544049459043001,9,Tuesday
EURUSD_24001_SHORT_5107,EURUSD,2025-10-07 09:00:00+00:00,2025-10-07 11:45:00+00:00,3.0,0.8794965114604993,0.5943037969448554,london,SHORT,bos,-0.1904761904763415,0.4544049459043001,9,Tuesday
EURUSD_24005_SHORT_5108,EURUSD,2025-10-07 09:45:00+00:00,2025-10-07 10:45:00+00:00,3.0,0.8805408694733994,0.6512012727268783,london,SHORT,bos,0.0,0.20408163265304272,9,Tuesday
EURUSD_24005_SHORT_5108,EURUSD,2025-10-07 09:45:00+00:00,2025-10-07 12:15:00+00:00,3.0,0.8805408694733994,0.6512012727268783,london,SHORT,bos,0.0,0.20408163265304272,9,Tuesday
EURUSD_24951_SHORT_5304,EURUSD,2025-10-21 08:00:00+00:00,2025-10-21 09:00:00+00:00,3.0,0.8738999304173077,0.6488405788901572,london,SHORT,bos,0.2790697674420406,0.9162861491632842,8,Tuesday
EURUSD_24951_SHORT_5304,EURUSD,2025-10-21 08:00:00+00:00,2025-10-21 11:45:00+00:00,3.0,0.8738999304173077,0.6488405788901572,london,SHORT,bos,0.2790697674420406,0.9162861491632842,8,Tuesday
EURUSD_26418_LONG_5619,EURUSD,2025-11-11 13:00:00+00:00,2025-11-11 15:15:00+00:00,3.0,0.8772742605265786,0.554659730566229,overlap,LONG,bos,-0.4358974358975673,0.650774731823373,13,Tuesday
EURUSD_26418_LONG_5619,EURUSD,2025-11-11 13:00:00+00:00,2025-11-11 15:15:00+00:00,3.0,0.8772742605265786,0.554659730566229,overlap,LONG,bos,-0.4358974358975673,0.650774731823373,13,Tuesday
EURUSD_26624_LONG_5663,EURUSD,2025-11-13 16:30:00+00:00,2025-11-13 18:45:00+00:00,3.0,0.8810971853612406,0.5697692363396736,overlap,LONG,bos,-1.0,0.10828729281769929,16,Thursday
EURUSD_26627_LONG_5664,EURUSD,2025-11-13 17:15:00+00:00,2025-11-13 19:15:00+00:00,3.0,0.881869674860623,0.5799629300367423,new_york,LONG,bos,0.3888888888884434,0.5249999999998503,17,Thursday
EURUSD_27937_LONG_5951,EURUSD,2025-12-03 08:45:00+00:00,2025-12-03 09:00:00+00:00,3.0,0.8840965340645556,0.7013579907381282,london,LONG,bos,1.9285714285709756,0.6490066225167335,8,Wednesday
EURUSD_28127_LONG_5995,EURUSD,2025-12-05 08:15:00+00:00,2025-12-05 09:00:00+00:00,3.0,0.8809632647409277,0.7990110470445195,london,LONG,bos,2.0,0.189701897019372,8,Friday
EURUSD_28127_LONG_5995,EURUSD,2025-12-05 08:15:00+00:00,2025-12-05 09:30:00+00:00,3.0,0.8809632647409277,0.7990110470445195,london,LONG,bos,2.0,0.189701897019372,8,Friday
EURUSD_28464_LONG_6063,EURUSD,2025-12-10 20:30:00+00:00,2025-12-10 22:00:00+00:00,3.0,0.8832371704490803,0.8716764135902635,new_york,LONG,bos,2.0,0.1365853658537991,20,Wednesday
EURUSD_28533_LONG_6084,EURUSD,2025-12-11 13:45:00+00:00,2025-12-11 15:45:00+00:00,3.0,0.8782229905413067,0.5607692399835817,overlap,LONG,bos,-0.4444444444443759,0.5460455037918378,13,Thursday
EURUSD_28533_LONG_6084,EURUSD,2025-12-11 13:45:00+00:00,2025-12-11 16:15:00+00:00,3.0,0.8782229905413067,0.5607692399835817,overlap,LONG,bos,-0.4444444444443759,0.5460455037918378,13,Thursday
EURUSD_28533_LONG_6084,EURUSD,2025-12-11 13:45:00+00:00,2025-12-11 17:30:00+00:00,3.0,0.8782229905413067,0.5607692399835817,overlap,LONG,bos,-0.4444444444443759,0.5460455037918378,13,Thursday
EURUSD_28823_LONG_6150,EURUSD,2025-12-16 16:00:00+00:00,2025-12-16 17:00:00+00:00,3.0,0.8784595580719241,0.6088181094657047,overlap,LONG,bos,-1.0,0.40000000000012176,16,Tuesday
EURUSD_28824_LONG_6151,EURUSD,2025-12-16 16:00:00+00:00,2025-12-16 17:00:00+00:00,3.0,0.8818852395394873,0.6249186754533107,overlap,LONG,bos,-1.0,0.1571072319200632,16,Tuesday
EURUSD_29000_SHORT_6185,EURUSD,2025-12-18 10:30:00+00:00,2025-12-18 14:15:00+00:00,3.0,0.8805529093553724,0.5855039885938346,london,SHORT,bos,-1.0,0.5701357466063455,10,Thursday
EURUSD_31229_LONG_6679,EURUSD,2026-01-22 15:45:00+00:00,2026-01-22 17:45:00+00:00,3.0,0.882707003694048,0.6181648768334508,overlap,LONG,bos,-0.2564102564101542,0.629757785467329,15,Thursday
EURUSD_31229_LONG_6679,EURUSD,2026-01-22 15:45:00+00:00,2026-01-22 18:00:00+00:00,3.0,0.882707003694048,0.6181648768334508,overlap,LONG,bos,-0.2564102564101542,0.629757785467329,15,Thursday
EURUSD_31341_LONG_6705,EURUSD,2026-01-23 21:00:00+00:00,2026-01-26 00:00:00+00:00,3.0,0.8822618460118438,0.6132803066604902,new_york,LONG,bos,-1.0,0.556508183943907,21,Friday
EURUSD_31341_LONG_6705,EURUSD,2026-01-23 21:00:00+00:00,2026-01-26 00:00:00+00:00,3.0,0.8822618460118438,0.6132803066604902,new_york,LONG,bos,-1.0,0.556508183943907,21,Friday
EURUSD_31341_LONG_6705,EURUSD,2026-01-23 21:00:00+00:00,2026-01-26 00:45:00+00:00,3.0,0.8822618460118438,0.6132803066604902,new_york,LONG,bos,-1.0,0.556508183943907,21,Friday
EURUSD_32570_SHORT_6976,EURUSD,2026-02-11 15:00:00+00:00,2026-02-11 15:30:00+00:00,3.0,0.8784138658180806,0.6151646506015575,overlap,SHORT,bos,2.0,0.0731070496084261,15,Wednesday
EURUSD_32570_SHORT_6976,EURUSD,2026-02-11 15:00:00+00:00,2026-02-11 15:30:00+00:00,3.0,0.8784138658180806,0.6151646506015575,overlap,SHORT,bos,2.0,0.0731070496084261,15,Wednesday
EURUSD_32570_SHORT_6976,EURUSD,2026-02-11 15:00:00+00:00,2026-02-11 15:30:00+00:00,3.0,0.8784138658180806,0.6151646506015575,overlap,SHORT,bos,2.0,0.0731070496084261,15,Wednesday
EURUSD_32731_SHORT_7001,EURUSD,2026-02-13 07:15:00+00:00,2026-02-13 09:00:00+00:00,3.0,0.8814281404997836,0.5967261277762329,london,SHORT,bos,0.0,0.22310756972133758,7,Friday
EURUSD_33539_LONG_7157,EURUSD,2026-02-25 17:15:00+00:00,2026-02-25 19:00:00+00:00,3.0,0.8798878478867099,0.5644260396416587,new_york,LONG,bos,-1.0,0.2283563362608945,17,Wednesday
EURUSD_34650_SHORT_7426,EURUSD,2026-03-13 07:00:00+00:00,2026-03-13 09:30:00+00:00,3.0,0.8776981858905064,0.6244489542771728,london,SHORT,bos,0.7857142857145123,0.29210134128172993,7,Friday
EURUSD_34650_SHORT_7426,EURUSD,2026-03-13 07:00:00+00:00,2026-03-13 09:45:00+00:00,3.0,0.8776981858905064,0.6244489542771728,london,SHORT,bos,0.7857142857145123,0.29210134128172993,7,Friday
EURUSD_34650_SHORT_7426,EURUSD,2026-03-13 07:00:00+00:00,2026-03-13 10:00:00+00:00,3.0,0.8776981858905064,0.6244489542771728,london,SHORT,bos,0.7857142857145123,0.29210134128172993,7,Friday
EURUSD_35076_LONG_7531,EURUSD,2026-03-19 17:30:00+00:00,2026-03-19 20:45:00+00:00,3.0,0.8809730238458517,0.7527678844015963,new_york,LONG,bos,0.4688796680497271,1.4593425605536314,17,Thursday
EURUSD_35090_LONG_7536,EURUSD,2026-03-19 21:15:00+00:00,2026-03-19 22:00:00+00:00,3.0,0.8851815403746567,0.7434256334885314,new_york,LONG,bos,0.3733333333332109,0.48098946404018206,21,Thursday
EURUSD_36506_LONG_7822,EURUSD,2026-04-09 15:30:00+00:00,2026-04-09 19:00:00+00:00,3.0,0.8796816440352528,0.7274192039337822,overlap,LONG,bos,0.3333333333331277,0.6315789473682483,15,Thursday
EURUSD_36596_LONG_7847,EURUSD,2026-04-10 13:30:00+00:00,2026-04-10 17:15:00+00:00,3.0,0.8813003166996362,0.5526924576203878,overlap,LONG,bos,-0.4807692307688941,0.7006737247354315,13,Friday
EURUSD_38041_LONG_8148,EURUSD,2026-05-01 14:45:00+00:00,2026-05-01 17:00:00+00:00,3.0,0.8818493993237682,0.7664799627328063,overlap,LONG,bos,1.0250000000001664,0.5761316872427115,14,Friday
EURUSD_38495_LONG_8249,EURUSD,2026-05-08 08:15:00+00:00,2026-05-08 09:15:00+00:00,3.0,0.8829017578685346,0.5875353450737872,london,LONG,bos,-0.1428571428572561,0.7538461538463287,8,Friday
EURUSD_38495_LONG_8249,EURUSD,2026-05-08 08:15:00+00:00,2026-05-08 11:15:00+00:00,3.0,0.8829017578685346,0.5875353450737872,london,LONG,bos,-0.1428571428572561,0.7538461538463287,8,Friday
EURUSD_38495_LONG_8249,EURUSD,2026-05-08 08:15:00+00:00,2026-05-08 11:30:00+00:00,3.0,0.8829017578685346,0.5875353450737872,london,LONG,bos,-0.1428571428572561,0.7538461538463287,8,Friday
EURUSD_38980_SHORT_8350,EURUSD,2026-05-15 10:15:00+00:00,2026-05-15 12:00:00+00:00,3.0,0.8781130310821709,0.585412838347335,london,SHORT,bos,2.0,0.1411764705881071,10,Friday
EURUSD_39184_SHORT_8402,EURUSD,2026-05-19 13:15:00+00:00,2026-05-19 16:15:00+00:00,3.0,0.8619762321663277,0.6193836413292332,overlap,SHORT,bos,1.2222222222228618,0.4548736462093957,13,Tuesday
EURUSD_39184_SHORT_8402,EURUSD,2026-05-19 13:15:00+00:00,2026-05-19 17:15:00+00:00,3.0,0.8619762321663277,0.6193836413292332,overlap,SHORT,bos,1.2222222222228618,0.4548736462093957,13,Tuesday
EURUSD_39871_LONG_8555,EURUSD,2026-05-28 16:45:00+00:00,2026-05-28 17:00:00+00:00,3.0,0.8780115561870275,0.6212844524412137,overlap,LONG,bos,0.4761904761903251,1.0057012542761552,16,Thursday
GBPUSD_815_SHORT_143,GBPUSD,2024-10-30 14:15:00+00:00,2024-10-30 15:45:00+00:00,3.0,0.8776289384904358,0.5508664087206381,overlap,SHORT,bos,0.1666666666667227,0.6571834992888895,14,Wednesday
GBPUSD_2702_LONG_513,GBPUSD,2024-11-27 09:00:00+00:00,2024-11-27 09:45:00+00:00,3.0,0.8849685556972059,0.5531063389953155,london,LONG,bos,-0.5789473684204376,0.3888888888886869,9,Wednesday
GBPUSD_2702_LONG_513,GBPUSD,2024-11-27 09:00:00+00:00,2024-11-27 10:00:00+00:00,3.0,0.8849685556972059,0.5531063389953155,london,LONG,bos,-0.5789473684204376,0.3888888888886869,9,Wednesday
GBPUSD_2702_LONG_513,GBPUSD,2024-11-27 09:00:00+00:00,2024-11-27 10:15:00+00:00,3.0,0.8849685556972059,0.5531063389953155,london,LONG,bos,-0.5789473684204376,0.3888888888886869,9,Wednesday
GBPUSD_2727_LONG_520,GBPUSD,2024-11-27 15:15:00+00:00,2024-11-27 15:45:00+00:00,3.0,0.8859275775116078,0.5992559311033874,overlap,LONG,bos,0.1466666666664377,0.7658643326039491,15,Wednesday
GBPUSD_2727_LONG_520,GBPUSD,2024-11-27 15:15:00+00:00,2024-11-27 17:45:00+00:00,3.0,0.8859275775116078,0.5992559311033874,overlap,LONG,bos,0.1466666666664377,0.7658643326039491,15,Wednesday
