experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability,hour_x,fvg_size_atr,hour_y,hour
D,EURUSD_23263_SHORT_4948,EURUSD,SHORT,2025-09-25 15:45:00+00:00,2025-09-25 16:15:00+00:00,2025-09-25 18:00:00+00:00,23265,1.0,0.8629755828901807,3.0,90.0,7,overlap,bos,internal,none,2,1,0.1849056603773939,2,-11.28630136986294,-2.6082191780822157,-5.072602739725985,1.275342465753461,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,0.0,0.6341621171410249,,2.7686567164178912,16,15
D,EURUSD_23263_SHORT_4948,EURUSD,SHORT,2025-09-25 15:45:00+00:00,2025-09-25 16:15:00+00:00,2025-09-25 20:15:00+00:00,23265,1.5,0.8629755828901807,3.0,90.0,16,overlap,bos,internal,none,2,1,0.1849056603773939,2,-11.28630136986294,-2.6082191780822157,-5.072602739725985,1.275342465753461,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,0.0,0.6341621171410249,,2.7686567164178912,16,15
D,EURUSD_23263_SHORT_4948,EURUSD,SHORT,2025-09-25 15:45:00+00:00,2025-09-25 16:15:00+00:00,2025-09-25 20:15:00+00:00,23265,2.0,0.8629755828901807,2.310958904109585,69.32876712328755,16,overlap,bos,internal,none,2,1,0.1849056603773939,2,-11.28630136986294,-2.6082191780822157,-5.072602739725985,1.275342465753461,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,0.0,0.6341621171410249,,2.7686567164178912,16,15
D,GBPUSD_1015_LONG_187,GBPUSD,LONG,2024-11-01 15:45:00+00:00,2024-11-01 16:15:00+00:00,2024-11-01 20:15:00+00:00,1017,1.0,0.8894960869933741,-0.7634854771784524,-22.90456431535357,16,overlap,bos,internal,none,2,1,0.1744186046511848,2,-3.6431535269708792,9.31950207468889,-0.9626556016596116,4.572614107883938,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.6093282283942443,,2.360784313725535,16,15
D,GBPUSD_1015_LONG_187,GBPUSD,LONG,2024-11-01 15:45:00+00:00,2024-11-01 16:15:00+00:00,2024-11-01 20:15:00+00:00,1017,1.5,0.8894960869933741,-0.5089903181189683,-15.26970954356905,16,overlap,bos,internal,none,2,1,0.1744186046511848,2,-3.6431535269708792,9.31950207468889,-0.9626556016596116,4.572614107883938,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.6093282283942443,,2.360784313725535,16,15
D,GBPUSD_1015_LONG_187,GBPUSD,LONG,2024-11-01 15:45:00+00:00,2024-11-01 16:15:00+00:00,2024-11-01 20:15:00+00:00,1017,2.0,0.8894960869933741,-0.3817427385892262,-11.452282157676786,16,overlap,bos,internal,none,2,1,0.1744186046511848,2,-3.6431535269708792,9.31950207468889,-0.9626556016596116,4.572614107883938,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.6093282283942443,,2.360784313725535,16,15
D,GBPUSD_5398_SHORT_1064,GBPUSD,SHORT,2025-01-08 13:30:00+00:00,2025-01-08 14:00:00+00:00,2025-01-08 18:00:00+00:00,5400,1.0,0.8748965720895988,0.7155676941084292,21.46703082325288,16,overlap,bos,internal,none,2,1,-0.0301369863013853,1,-12.060866172454295,-6.511119781506056,-7.341396800624264,1.6987904799063422,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,1.0,0.5680143966349372,,2.1089558398679142,14,13
D,GBPUSD_5398_SHORT_1064,GBPUSD,SHORT,2025-01-08 13:30:00+00:00,2025-01-08 14:00:00+00:00,2025-01-08 18:00:00+00:00,5400,1.5,0.8748965720895988,0.4770451294056195,14.311353882168586,16,overlap,bos,internal,none,2,1,-0.0301369863013853,1,-12.060866172454295,-6.511119781506056,-7.341396800624264,1.6987904799063422,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,1.0,0.5680143966349372,,2.1089558398679142,14,13
D,GBPUSD_5398_SHORT_1064,GBPUSD,SHORT,2025-01-08 13:30:00+00:00,2025-01-08 14:00:00+00:00,2025-01-08 18:00:00+00:00,5400,2.0,0.8748965720895988,0.3577838470542146,10.733515411626438,16,overlap,bos,internal,none,2,1,-0.0301369863013853,1,-12.060866172454295,-6.511119781506056,-7.341396800624264,1.6987904799063422,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,1.0,0.5680143966349372,,2.1089558398679142,14,13
D,GBPUSD_16037_SHORT_3184,GBPUSD,SHORT,2025-06-12 09:15:00+00:00,2025-06-12 09:45:00+00:00,2025-06-12 10:30:00+00:00,16039,1.0,0.8777548603853897,3.0,90.0,3,london,bos,internal,none,2,1,0.1826923076922358,2,-0.3479005998287731,12.020565552699289,-3.0231362467867653,1.0077120822621664,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,1.0,0.5795030758536992,,2.614003590664113,9,9
D,GBPUSD_16037_SHORT_3184,GBPUSD,SHORT,2025-06-12 09:15:00+00:00,2025-06-12 09:45:00+00:00,2025-06-12 10:30:00+00:00,16039,1.5,0.8777548603853897,3.0,90.0,3,london,bos,internal,none,2,1,0.1826923076922358,2,-0.3479005998287731,12.020565552699289,-3.0231362467867653,1.0077120822621664,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,1.0,0.5795030758536992,,2.614003590664113,9,9
D,GBPUSD_16037_SHORT_3184,GBPUSD,SHORT,2025-06-12 09:15:00+00:00,2025-06-12 09:45:00+00:00,2025-06-12 12:45:00+00:00,16039,2.0,0.8777548603853897,-1.0,-30.0,12,london,bos,internal,none,2,1,0.1826923076922358,2,-0.3479005998287731,12.020565552699289,-3.0231362467867653,1.0077120822621664,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,1.0,0.5795030758536992,,2.614003590664113,9,9
D,GBPUSD_19519_LONG_3927,GBPUSD,LONG,2025-08-01 15:45:00+00:00,2025-08-01 16:15:00+00:00,2025-08-01 16:45:00+00:00,19521,1.0,0.8171996278850736,-1.0,-30.0,2,overlap,bos,internal,none,2,1,-0.0503089143865804,1,0.5317532664843436,4.632634457611634,-0.3786083257368851,6.508659981768449,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.5991714830884138,,5.296160267111935,16,15
D,GBPUSD_19519_LONG_3927,GBPUSD,LONG,2025-08-01 15:45:00+00:00,2025-08-01 16:15:00+00:00,2025-08-01 17:00:00+00:00,19521,1.5,0.8171996278850736,-1.0,-30.0,3,overlap,bos,internal,none,2,1,-0.0503089143865804,1,0.5317532664843436,4.632634457611634,-0.3786083257368851,6.508659981768449,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.5991714830884138,,5.296160267111935,16,15
