experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability,hour_x,fvg_size_atr,hour_y,hour
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,1.0,0.8693050554161248,2.142027114267284,64.26081342801852,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,1.5,0.8693050554161248,1.4280180761781898,42.84054228534569,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,2.0,0.8693050554161248,1.071013557133642,32.13040671400926,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
